"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"VMO6Z1903911"	"VIDRIERA MONTERREY S.A. DE C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"PRODUCCIÓN DE BOTELLAS, ENVASES Y SIMILARES DE VIDRIO (SÓLO CUANDO SE ELABORA EL VIDRIO; N"		"25°41'13"""	"100°18'16"""	"MAGALLANES OTE"	"517"		"PROLOBGACION DR COSS"	"ESCOBEDO"	"TREVIÑO"	"CENTRO"	"Monterrey"	"NUEVO LEON"	"64570"
"VMOKE1903911"	"VALOR MOTRIZ S. DE R.L. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"AGENCIA DE VENTA DE VEHICULOS SERVICIO DE MANTTO. AUTOMOTRIZ Y VENTA DE REFACCIONES"		"25°40'36"""	"100°21'18"""	"AV. PABLO GONZALEZ"	"408"		"JESUS MARIA GONZALEZ"	"OCOTLAN"	"SAN JERONIMO"	"MONTERREY"	"Monterrey"	"NUEVO LEON"	"64640"
"VMOKE1904611"	"VILLAUTO MONTERREY S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"COMPRA VENTA DE VEHICULOS Y REFACCIONES Y SERVICIO DE MANTTO. LAMINADO Y PINTURA"		"25°44'57"""	"100°18'37"""	"AV. MANUEL BARRAGAN"	"301"		"ESQUINA CON TORRE DE FALCON"		"VILLAS DE ANAHUAC"	"SAN NICOLAS DE LOS GARZA"	"San Nicolas de los Garza"	"NUEVO LEON"	"66422"
"VMT9G2803211"	"VALOR MOTRIZ DE TAMAULIPAS, S. DE R.L. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"COMPRA VENTA DE VEHICULOS Y REFACCIONES Y SERVICIO DE MANTTO. AUTOMOTRIZ"		"26°4'10"""	"98°20'50"""	"CARRETERA REYNOSA MONTERREY"	"106"		"BOULEVARD DEL MAESTRO"	"BELLA VISTA"	"FUENTES DEL VALLE"	"REYNOSA"	"Reynosa"	"TAMAULIPAS"	"88746"
"VNO521902111"	"VISKASE DEL NORTE S.A. DE C.V."	"Articulos y productos plasticos"	"326110"	"Fabricación de bolsas y películas de plástico flexible."	"ZA"	"PRODUCCION DE TRIPAS DE CELUSOSA FIBROSA Y ENVOLTURAS DE PLASTICO"	"PARQUE INDUSTRIAL NEXXUS XXI"	"25°46'3"""	"100°17'30"""	"AV. NEXXUS"	"125"		"AV. SENDERO DIVISORIO"	"SANTA BARBARA"	"PARQUE INDUSTRIAL NEXUS"	"ESCOBEDO"	"Gral.  Escobedo"	"NUEVO LEON"	"66055"
"VPI9M2402811"	"VEYANCE PRODUCTOS INDUSTRIALES S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"ZONA INDUSTRIAL DEL POTOSI"	"22°7'15"""	"100°54'55"""	"EJE CENTRAL SAHOP"	"215"		"AV. DESARROLLO"	"AV. PROGRESO"	"ZONA INDUSTRIAL 1A SECC"	"SAN LUIS POTOSI"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78395"
"VIP6Z2402811"	"VIDRIERA INDUSTRIAL DEL POTOSI S.A. DE C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"FABRICACION DE ENVASES DE VIDRIO"	"ZONA INDUSTRIAL DEL POTOSI II"	"22°3'51"""	"100°53'8"""	"EJE 132"	"205"		"AVENIDA CFE"	"AVENIDA PEMEX"	"ZONA INDUSTRIAL DEL POTOSI II"	"SAN LUIS POTOSI"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78395"
"VJZEE1505711"	"VEHICULOS JAPONESES ZAPATA, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"EE"	"COMPRA, VENTA Y MANTENIMIENTO DE AUTOS NUUEVOS Y USADOS"		"19°28'15"""	"99°14'10"""	"BOULEVARD MANUEL AVILA CAMACHO"	"905"		"HACIENDA LA GAVIA"	"AVENIDA LOMAS VERDES"	"SANTA CRUZ ACATLAN"	"NAUCALPAN"	"Naucalpan de Juarez"	"MEXICO"	"53150"
"VKNR93100411"	"VERTICAL KNITS S.A. DE C.V."	"Textiles, fibras e hilos"	"315221"	"Confección en serie de ropa interior y de dormir."	"46"	"CONFECCION DE OTRAS PRENDAS EXTERIORES DE VESTIR. FABRICA DE TELAS Y CONFECCION DE PLAYERA"		"21°6'10"""	"89°23'50"""	"20 x 27 y 29"	"131C"		"27"	"29"	"centro"	"BACA"	"Baca"	"YUCATAN"	"97450"
"VME6E1103211"	"FITESANONWOVENS MÉXICO S.A DE C.V"	"Articulos y productos plasticos"	"326110"	"Fabricación de bolsas y películas de plástico flexible."	"ZA"	"TELA NO TEJIDA"	"CARRETERA 57 TRAMO QRO- SLP"	"21°4'15"""	"100°30'11"""	"NA"	"KM 60.2"		"NA"	"NA"	"NA"	"SAN JOSE ITURBIDE"	"San Jose Iturbide"	"GUANAJUATO"	"37980"
"VME6E2402811"	"SMR AUTOMOTIVE VISION SYSTEMS MEXICO SA DE CV"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCION DE AUTOPARTES"	"PARQUE INDUSTRIAL TRES NACIONES"	"22°3'31"""	"100°52'21"""	"CIRCUITO MEXICO"	"260"		"CARRETERA 57"	"AV CFE"		"SAN LUIS POTOSI"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78395"
"VME7T0801911"	"Victaulic de Mexico S de R.L. de C.V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	"Parque Industrial Sur"	"28°39'39"""	"105°58'59"""	"Ave. Aeroespacial No. 12601"	"12601"		"Ave. Aeroespacial"	"Tabalaopa"	"Tabalaopa"	"Chihuahua"	"Chihuahua"	"CHIHUAHUA"	"31385"
"VME7T2111411"	"VACIADOS METALICOS S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."		"19°2'28"""	"98°9'57"""	"AVENIDA DE LAS AMERICAS"	"4001"		"URUGUAY"	"RIO DE JANEIRO"	"AMERIA SUR"	"PUEBLA"	"Puebla"	"PUEBLA"	"72340"
"VME871902611"	"VESUVIUS MÉXICO S.A. DE C.V."	"Articulos y productos metalicos"	"332910"	"Fabricación de válvulas metálicas."	"87"	"Fabricación y reparación de valvulas refractarias"	"Jardines de San Rafael"	"25°42'8"""	"100°13'14"""	"Carretera a San Miguel Km.1.0"	"NA"		"Calle nueva"	"Carretera a Cd. Miguel Aleman"	"Fracc. Jardines de San Rafael"	"Guadalupe"	"Guadalupe"	"NUEVO LEON"	"67110"
"VME8N2201611"	"Imbera S.A. de C.V."	"Articulos y productos metalicos"	"332410"	"Fabricación de calderas industriales."	"7W"	"Ensamble de Enfriadores"	"Parque Industrial Vallle de Oro"	"20°23'50"""	"99°58'54"""	"Carretera México-Tequisquiapan"	"Km. 3.2"		"Camino a Santa Cruz Nieto"	"N.A."	"Valle de Oro"		"San Juan del Rio"	"QUERETARO"	"76800"
"VME912802211"	"VICTOREEN DE MEXICO S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334410"	"Fabricación de componentes electrónicos."	"91"	"FABRICACION DE COMPONENTES ELECTRONICOS Y SIMILARES"	"PARQUE INDUSTRIAL CIMA"	"25°50'13"""	"97°25'42"""	"ORIENTE 2"	"46"		"LORENZO DE LA GARZA"	"Lote 8"	"CIMA"	"H MATAMOROS"	"Matamoros"	"TAMAULIPAS"	"87499"
"VME9G2104111"	"Volkswagen de México S.A. de C.V."	"Automotriz"	"336110"	"Fabricación de automóviles y camionetas."	"9G"	"PRODUCCIÓN DE AUTOMÓVILES Y CAMIONES (INCLUYE TRACTOCAMIONES Y SIMILARES)."	"A un costado de la Autopista México Puebla"	"19°7'44"""	"98°15'45"""	"Autopista México-Puebla Km.116"	"NA"	"NA"	"Camino San Lorenzo"	"Periferico ecológico"	"San Lorenzo Almecatla"	"San Lorenzo Almecatla"	"Cuautlancingo"	"PUEBLA"	"72700"
"VME9L1102011"	"VCST DE MEXICO S. DE RL. DE CV"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE PIEZAS AUTOMOTRICES ,  MEDIANTE PROCESOS TÉRMICOS"	"COMUNIDAD"	"21°3'3"""	"101°34'23"""	"BLVD. AEROPUERTO"	"2202"	"A"	"CAMINO DE  TERRACERIA"	"JAZMIN"	"LOS LOPEZ"	"LEON"	"Leon"	"GUANAJUATO"	"37680"
"VDM8S0200411"	"VIGOBYTE DE MEXICO, S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334110"	"Fabricación de computadoras y equipo periférico."	"8S"	"MANUFACTURA  FABRICACION  Y EMPAQUE DE  PRODUCTOS ELECTRONICOS PARA COMPUTADORAS"	"PARQUE  INDUSTRIAL INTERNACIONAL TIJUANA"	"32°31'28"""	"116°57'51"""	"AVE. PRODUCCION"	"13"		"NO APLICA"	"NO APLICA"	"INTERNACIONAL"		"Tijuana"	"BAJA CALIFORNIA"	"22425"
"VEM912603011"	"VICTOR EQUIPMENT DE MEXICO S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"INDUSTRIA DE ENSAMBLE DE PIEZAS Y REFACCCIONES PARA EQUIPOS DE CORTE Y SOLDADURA"		"29°6'20"""	"110°59'46"""	"JESUS SIQUEIROS"	"652"		"PUERTO RICO"	"SOLIDARIDAD"	"ALVARO OBREGON"	"HERMOSILLO"	"Hermosillo"	"SONORA"	"83170"
"VERRE2402811"	"VERSISA, S.A. DE C.V."	"Tratamiento de residuos peligrosos"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"M1"	"RECICLAJE DE BATERÍAS DE DESECHO BASE PLOMO Y POLVOS DE PROCESOS INDUSTRIALES"	"Zona Industrial del Potosí"	"22°3'37"""	"100°53'41"""	"Crisol"	"1315"		"Eje 132"	"Eje 134"		"San Luis Potosí"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78395"
"VEV6D1510411"	"VULCANIZADORA EVEREST S.A. DE C.V."	"Quimica"	"326290"	"Fabricación de otros productos de hule."	"6D"	"PRODUCCIÓN DE ARTÍCULOS DE HULE (SÓLO SI SE ELABORA EL HULE)."		"19°32'42"""	"99°10'0"""	"Fortino Rocha"	"sn"	"1"	"Av. Las Armas Norte"	"Francico I Madero"	"San José Tepetalco"	"Tlanepantla"	"Tlalnepantla de Baz"	"MEXICO"	"54090"
"VFLTY1901811"	"Vitro Flex S.A. de C.V."	"Vidrio y cristal"	"327219"	"Fabricación de otros productos de vidrio."	"TY"	"Produccion de Otros Articulos de Vidrio y Cristal"	"Parque industrial Villa de Garcia"	"25°46'1"""	"100°33'48"""	"Carretera a Garcia Km 10.5"	"SN"		"NA"	"NA"	"NA"	"Garcia"	"Garcia"	"NUEVO LEON"	"66000"
"VGM871503311"	"VETCO GRAY DE MEXICO, S.A. de C.V."	"Metalurgica (incluye la siderurgica)"	"333999"	"Fabricación de otra maquinaria y equipo para la industria en general."	"LK"	"FABRICACION DE IMPLEMENTOS PETROLEROS. VALVULAS METALICAS Y ARBOLES DE NAVIDAD"		"19°33'8"""	"99°3'29"""	"A V. INDUSTRIAS"	"10"		"INDUSTRIA QUIMICA"	"INDUSTRIA ELECTRICA"	"CERRO GORDO"	"ECATEPEC"	"Ecatepec de Morelos"	"MEXICO"	"55425"
"VHE5U1904811"	"VALERO HERMANOS S. A. DE C.V."	"Pinturas y tintas"	"325510"	"Fabricación de pinturas y recubrimientos."	"5U"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	"ZONA INDUSTRIAL EL LECHUGAL"	"25°40'10"""	"100°26'45"""	"ANTIGUO CAMINO A LA HUASTECA"	"225"		"GALEANA"	"LERDO DE TEJADA"	"IND. EL LECHUGAL"		"Santa Catarina"	"NUEVO LEON"	"66360"
"VID6Z1510621"	"COMPAÑIA VIDRIERA S.A. DE C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"PRODUCCIÓN DE BOTELLAS, ENVASES Y SIMILARES DE VIDRIO (SÓLO CUANDO SE ELABORA EL VIDRIO; N"	"PARQUE INDUSTRIAL EL COECILLO"	"19°17'14"""	"99°34'25"""	"CARRETERA MEXICO-TOLUCA KM 57.5"	"SN"		"PASEO TOLLOCAN AV. BAJA VELOCIDAD"	"AVENIDA TECNOLOGICO"	"EL COECILLO"	"TOLUCA"	"Toluca"	"MEXICO"	"50200"
"VIM9G1510911"	"VOLVO INDUSTRIAL DE MEXICO S.A. DE C.V."	"Automotriz"	"336110"	"Fabricación de automóviles y camionetas."	"9G"	"PRODUCCIÓN DE AUTOMÓVILES Y CAMIONES (INCLUYE TRACTOCAMIONES Y SIMILARES)."	"INDUSTRIAL CARTAGENA"	"19°39'8"""	"99°8'4"""	"LAGO DE GUADALUPE"	"289"		"10 DE JUNIO"	"HACIENDA PROTALES"	"FRACCIONAMIENTO INDUSTRIAL CARTAGENA"	"TULTITLÁN"	"Tultitlan"	"MEXICO"	"54900"
"VAC5U1901211"	"VALSPAR ARIES COATINGS S. DE R.L. DE C.V."	"Pinturas y tintas"	"325510"	"Fabricación de pinturas y recubrimientos."	"5U"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES"	"PARQUE INDUSTRIAL CIENEGA DE FLORES"	"25°58'23"""	"100°8'52"""	"CARRETERA MONTERREY LAREDO KM. 37.1"	"km 37.1"						"Cienega de Flores"	"NUEVO LEON"	"65550"
"VAFAI0200211"	"VIDRIO Y CRISTAL DEL NOROESTE S.A. DE C.V."	"vidrio"	"327211"	"Fabricación de vidrio."	"6W"	"FABRICACION DE VIDRIO PLANO, LISO Y LABRADO"	"CORREDOR INDUSTRIAL PALACO"	"32°40'17"""	"115°28'45"""	"CALZADA INDUSTRIAL PALACO"	"2150"		"ZINC"	"ESMERALDA"			"Mexicali"	"BAJA CALIFORNIA"	"21600"
"VAJND0900211"	"CLAUDIA IVETTE VALTIERRA JIMENEZ"	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."		"19°29'14"""	"99°10'2"""	"NORTE 59"	"725"		"PTE 122"	"AV. CEYLAN"	"INDUSTRIAL VALLEJO"	"MEXICO"	"Azcapotzalco"	"DISTRITO FEDERAL"	"02300"
"VAR7Q1509511"	"VARESE, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331310"	"Industria básica del aluminio."	"7Q"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."		"19°43'50"""	"99°13'24"""	"INSURGENTES"	"1B"		"CERRADA DEL BARRIL"	"CALLE DEL BALNEARIO"	"BARRIO TEXCACOA"	"TEPOTZOTLAN"	"Tepotzotlan"	"MEXICO"	"54600"
"VARND1900611"	"VARMOXZ, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."		"25°46'37"""	"100°11'16"""	"AVE. LAS PUENTES"	"794"		"CARR. A NUEVO LAREDO"	"AVE. LAS PALMAS"	"RIO PESQUERÍA"	"APODACA"	"Apodaca"	"NUEVO LEON"	"66632"
"VASEE1505711"	"Vehículos Automotores de Satélite S.A. de C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"EE"	"Comercio al por menor de automóviles nuevos con taller de mantenimiento automotriz"		"19°29'26"""	"99°14'9"""	"Blvd. Manuel Ávila Camacho"	"3023"	"NA"	"Av Hacienda de Echegaray"	"Paseo del Otoño"	"La Florida"		"Naucalpan de Juarez"	"MEXICO"	"53160"
"VATSF2300811"	"Viajes Acuaticos Turquesa SA de CV"	"Otros"	"721111"	"Hoteles con otros servicios integrados."	"SF"	"Hotel con servicios integrados"	"Punta Maroma"	"20°43'24"""	"86°58'39"""	"Carretera Federal Cancun Tulum Km.55.3"	"."	"."	"NA"	"NA"	"Punta Maroma"	"Solidaridad"	"Solidaridad"	"QUINTANA ROO"	"77710"
"VAUTY1901812"	"Vitro Automotriz S.A de C.V"	"vidrio"	"327219"	"Fabricación de otros productos de vidrio."	"72"	"Fabricación de Cristal  Automotriz de Seguridad"		"25°47'15"""	"100°35'6"""	"Carretera a Garcia sobre Carr. a Garcia"	"Km 10.3"		"na"	"na"	"sobre carretera a Garcia"	"Garcia"	"Garcia"	"NUEVO LEON"	"66000"
"VCAKE1901911"	"VILLAUTO CENTRO AUTOMOTRIZ, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"COMPRA VENTA DE AUTOS NUEVOS Y SEMINUEVOS SERVICIO DE MANTTO. LAMINADO Y PINTURA"		"25°38'18"""	"100°19'12"""	"ARQ. PEDRO RAMIREZ VAZQUEZ"	"1500"		"ESQ. CON AV. FUNDADORES"	"ESQ.CON AV. FUNDADORES"	"VALLE ORIENTE"	"SAN PEDRO GARZA GARCIA"	"San Pedro Garza Garcia"	"NUEVO LEON"	"66260"
"VCCQF1510611"	"VALEO CLIMATE CONTROL DE MÉXICO S.A. DE C.V."	"Articulos y productos metalicos"	"333411"	"Fabricación de equipo de aire acondicionado y calefacción."	"8N"	"FABRICACION DE PARTES PARA AUTOMOVILES- SISTEMAS DE AIRE ACONDICIONADO Y DE SEGURIDAD"	"PARQUE INDUSTRIAL EXPORTEC II"	"19°16'22"""	"99°29'32"""	"ND"	"MZA 4"	"LOTE 1"	"CIRCUITO ERNESTO MONROY"	"CIRCUITO ALFONSO GOMEZ DE OROZCO"	"PARQUE INDUSTRIAL EXPORTEC II"	"TOLUCA"	"Toluca"	"MEXICO"	"50200"
"VCU7X1901911"	"VENTANAS CUPRUM, S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"Ensamble de productos de aluminio"		"25°40'35"""	"100°24'48"""	"Zinc"	"97"		"Lic. Gustavo Díaz Ordaz"	"Mercurio"	"San Pedro 400"	"San Pedro"	"San Pedro Garza Garcia"	"NUEVO LEON"	"66200"
"UME752104111"	"USG MEXICO S.A. DE C.V."	"Cemento y Cal"	"327420"	"Fabricación de yeso y productos de yeso."	"75"	"MANUFACTURA DE PRODUCTOS DE YESO PARA LA CONSTRUCCION Y DECORACION"		"19°5'3"""	"98°15'50"""	"AVENIDA LOS ARCOS"	"sn"		"XALATLA"	"ESTACION PATIO FERROCARRIL"	"na"	"CUAUTLANCINGO"	"Cuautlancingo"	"PUEBLA"	"72700"
"UME752403511"	"USG MÉXICO, SA DE CV"	"Cemento y Cal"	"327420"	"Fabricación de yeso y productos de yeso."	"75"	"PRODUCCIÓN DE YESO"		"22°9'30"""	"100°52'52"""	"NUEVO LAREDO"	"100"				"LOS GÓMEZ"		"Soledad de Graciano Sanchez"	"SAN LUIS POTOSI"	"78438"
"UME9J1103711"	"USM de Mexico S. de R. L. de C. V."	"Automotriz"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores."	"9J"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE TRANSMISIÓN AUTOMOTRIZ (SI INCLUYE PROCESOS TÉRMIC"	"PARQUE INDUSTRIAL FIPASI"	"20°53'38"""	"101°23'36"""	"AV. INGENIEROS"	"1200"		"SIN NOMBRE"	"NA"	"PARQUE INDUSTRIAL FIPASI"	"SILAO"	"Silao"	"GUANAJUATO"	"36100"
"UME9L0803711"	"UTIL MEXICO S. DE R.L. DE C.V."	"Automotriz"	"336340"	"Fabricación de partes de sistemas de frenos para vehículos automotrices."	"9L"	"FABRICACION DE ZAPATAS AUTOMOTRICES"	"PARQUE INDUSTRIAL INDEPENDENCIA"	"31°36'56"""	"106°21'30"""	"SANTIAGO TRONCOSO"	"941"		"BOULEVARD INDEPENDENCIA"	"CALLE TARAHUMARA"	"PARQUE IND. INDEPENDENCIA"	"CD. JUAREZ"	"Juarez"	"CHIHUAHUA"	"32575"
"UME9M0100111"	"UNIPRES MEXICANA, S.A. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL SAN FRANCISCO"	"22°2'17"""	"102°16'18"""	"AVENIDA JAPON"	"128"				"PARQUE INDUSTRIAL SAN FRANCISCO"	"SAN FRANCISCO DE LOS ROMO"	"San Francisco de los Romo"	"AGUASCALIENTES"	"20300"
"UMELK1505111"	"UNISIA MEXICANA S.A de C.V."	"Metalurgica (incluye la siderurgica)"	"333910"	"Fabricación de bombas y sistemas de bombeo."	"LK"	"FABRICACIÓN Y COMERCIALIZACIÓN DE BOMBAS DE ACEITE Y BOMBAS DE AGUA DE USO AUTOMOTRIZ"	"PARQUE INDUSTRIAL LERMA"	"19°17'54"""	"99°31'38"""	"AVENIDA DEL PARQUE"	"8"		"SAN RAFAEL"	"SANTA ANA"	"PARQUE INDUSTRIAL LERMA"	"LERMA"	"Lerma"	"MEXICO"	"52000"
"UMEND1900611"	"USEM DE MÉXICO S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"335311"	"Fabricación de motores y generadores eléctricos."	"8T"	"FABRICACIÓN Y ENSAMBLE DE MOTORES ELÉCTRICOS"	"APODACA"	"25°45'41"""	"100°12'21"""	"BLVD. CARLOS SALINAS DE GORTARI"	"KM. 9.5"		"NA"	"NA"		"APODACA"	"Apodaca"	"NUEVO LEON"	"66600"
"UMEUA1901011"	"USG MEXICO SA DE CV"	"Cemento y Cal"	"327420"	"Fabricación de yeso y productos de yeso."	"75"	"FABRICACION DE PANEL DE YESO MARCA TABLAROCA Y TABLACEMENTO DUROCK"	"CAMINO A LA LAGUNA KM 2.5."	"25°53'10"""	"100°22'22"""	"CARRETERA MTY - MONCLOVA KM 15"	"km2.5"		"na"	"na"			"Carmen"	"NUEVO LEON"	"66550"
"UNI561700711"	"UNIPAK S.A. DE C.V."	"Celulosa y papel"	"322122"	"Fabricación de papel a partir de pulpa."	"56"	"PRODUCCIÓN DE PAPEL."		"18°54'39"""	"99°12'50"""	"ATLACOMULCO"	"117"	"A"	"SAN JUAN"	"NICOLAS LEMUS"	"CHAPULTEPEC"	"CUERNAVACA"	"Cuernavaca"	"MORELOS"	"62450"
"UNI5H1102711"	"UNIVEX, S.A."	"Quimica"	"325190"	"Fabricación de otros productos químicos básicos orgánicos."	"5H"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS."	"Carretera Panamericana Km. 306"	"20°32'14"""	"101°6'7"""	"Carr. Panamericana  Celaya a Salamanca"	"Km. 306"		"NA"	"NA"			"Salamanca"	"GUANAJUATO"	"36700"
"UPN5E0901511"	"El Universal Compañía Periodística Nacional, S.A. de C.V."	"Otros"	"323111"	"Impresión de libros, periódicos y revistas."	"5E"	"IMPRESION DE PERIODICOS Y REVISTAS"		"19°26'5"""	"99°8'59"""	"BUCARELI"	"8"		"ARTICULO 125"	"AVENIDA JUAREZ"	"CENTRO"		"Cuauhtemoc"	"DISTRITO FEDERAL"	"06040"
"UQU5W1503311"	"UNION QUIMICA S.A. DE C.V."	"Quimica"	"325610"	"Fabricación de jabones, limpiadores y dentífricos."	"5W"	"PRODUCCIÓN DE JABONES Y DETERGENTES (SÓLO SI SE PRODUCEN LAS SUSTANCIAS BÁSICAS; INCLUYE O"	"FRACCIONAMIENTO INDUSTRIAL RUSTICA XALOSTOC"	"19°23'42"""	"99°12'39"""	"CHOPO"	"40"		"SAN ANTONIO"	"CALLE1"	"FRACC. IND. RUSTICA XALOSTOC"	"ECATEPEC DE MORELOS"	"Ecatepec de Morelos"	"MEXICO"	"55340"
"UTE691510911"	"US TECHNOLOGIES, S.A. DE C.V."	"Quimica"	"324191"	"Fabricación de aceites y grasas lubricantes."	"69"	"PRODUCCIÓN DE GRASAS, ACEITES LUBRICANTES Y ADITIVOS (INCLUYE MEZCLAS)."		"19°37'54"""	"99°10'41"""	"Av. Independencia"	"28"		"1a Cda Sur"	"2a. Cda Sur"	"Independencia"	"Tultitlán"	"Tultitlan"	"MEXICO"	"54900"
"UDE1C2803211"	"UNOMEDICAL DEVICES S.A. DE C.V."	"Articulos y productos compuestos de diferentes materiales"	"334519"	"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico."	"1C"	"MANUFACTURA, ENSAMBLE Y REPARACION DE EQUIPOS MEDICOS"	"PARQUE INDUSTRIAL DEL NORTE"	"26°2'51"""	"98°21'53"""	"AV. FOMENTO INDUSTRIAL"	"L 9"	"M 3"	"AV. INDUSTRIAL DEL NORTE"	"LOMA DORADA"	"PARQUE INDUSTRIAL DEL NORTE"	"REYNOSA"	"Reynosa"	"TAMAULIPAS"	"88736"
"UFABB2604211"	"UTC FIRE & SECURITY MEXICO CORPORATION, S. DE R.L. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334290"	"Fabricación de otros equipos de comunicación."	"91"	"FABRICACION, REPARACION Y ENSAMBLE DE EQUIPO ELECTRONICO - ALARMA DE SEGURIDAD"	"PARQUE INDUSTRIAL NAVOJOA"	"27°0'18"""	"109°25'45"""	"CALLE 1"	"S N"		"EJE B"	"EJE C"	"PARQUE INDUSTRIAL NAVOJOA"	"NAVOJOA"	"Navojoa"	"SONORA"	"85800"
"UHP7Z1407011"	"URREA HERRAMIENTAS PROFESIONALES SA DE CV"	"Metalurgica (incluye la siderurgica)"	"332211"	"Fabricación de herramientas de mano metálicas sin motor."	"7Z"	"PRODUCCIÓN DE HERRAMIENTAS DE MANO (SÓLO MEDIANTE PROCESOS TÉRMICOS O DE FUNDICIÓN; NO INC"	"CORREDOR INDUSTRIAL DE EL SALTO"	"20°30'24"""	"103°13'50"""	"CARRETERA A EL CASTILLO"	"KM. 11.5"		"NA"	"NA"	"EL CASTILLO"		"El Salto"	"JALISCO"	"45680"
"ULA5T1403911"	"ULTRA LABORATORIOS S.A DE C.V"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"PARQUE INDUSTRIAL EL ALAMO"	"20°38'0"""	"103°20'0"""	"AV. DR. R. MICHEL"	"2920"		"NOPAL"	"PARRAS"	"ALAMO INDUSTRIAL"	"GUADALAJARA"	"Guadalajara"	"JALISCO"	"44490"
